year,treatment,Treatment_Type,replicate,station,core,section,horizon_length,core_volume_cm3,gravel_free_bulk_density,total_bulk_density,gravel_weight_g,comments
2022,T1,Conventional,R1,S1,1,0-10cm,10,456.04,1.28,1.38,46.3,
2022,T1,Conventional,R1,S1,1,10-25cm,15,684.06,1.66,1.77,75.87,no roots
2022,T1,Conventional,R1,S1,1,25-50cm,25,1140.09,1.53,1.73,225.71,
2022,T1,Conventional,R1,S1,1,50-100cm,50,2280.18,1.63,1.74,265.41,no roots
2022,T1,Conventional,R1,S1,2,0-10cm,10,456.04,1.62,1.73,47.96,
2022,T1,Conventional,R1,S1,2,10-25cm,15,684.06,1.58,1.7,88.23,
2022,T1,Conventional,R1,S1,2,25-50cm,25,1140.09,1.6,1.7,109.05,
2022,T1,Conventional,R1,S1,2,50-100cm,50,2280.18,1.58,1.73,343.5,no roots
2022,T1,Conventional,R1,S2,1,0-10cm,10,456.04,1.41,1.49,36.37,
2022,T1,Conventional,R1,S2,1,10-25cm,15,684.06,1.66,1.73,47.53,
2022,T1,Conventional,R1,S2,1,25-50cm,25,1140.09,1.6,1.71,128.52,
2022,T1,Conventional,R1,S2,1,50-100cm,50,2280.18,1.6,1.75,323.69,no roots
2022,T1,Conventional,R1,S2,2,0-10cm,10,456.04,1.4,1.44,17.49,
2022,T1,Conventional,R1,S2,2,10-25cm,15,684.06,1.52,1.58,38.01,
2022,T1,Conventional,R1,S2,2,25-50cm,25,1140.09,1.61,1.7,99.79,no roots
2022,T1,Conventional,R1,S2,2,50-100cm,50,2280.18,1.51,1.77,603.26,no roots
2022,T1,Conventional,R1,S3,1,0-10cm,10,456.04,1.45,1.54,39.13,
2022,T1,Conventional,R1,S3,1,10-25cm,15,684.06,1.17,1.27,64.23,
2022,T1,Conventional,R1,S3,1,25-50cm,25,1140.09,1.58,1.63,58.04,
2022,T1,Conventional,R1,S3,1,50-100cm,50,2280.18,1.57,1.71,321.06,
2022,T1,Conventional,R1,S3,2,0-10cm,10,456.04,1.28,1.34,28.46,
