"","GEOID","year","state_alpha","county_name","Yield_mg_ha.x","irrigated","corn","Yield_mg_ha.y","soy","Yield_mg_ha","wheat"
"1","01003",2000,"AL","BALDWIN",3.6424,"irrigated","corn",1.256,"soy",NA,NA
"2","01003",2002,"AL","BALDWIN",5.9032,"irrigated","corn",1.6956,"soy",NA,NA
"3","01003",2003,"AL","BALDWIN",7.536,"irrigated","corn",1.9468,"soy",NA,NA
"4","01003",2004,"AL","BALDWIN",7.536,"irrigated","corn",1.9468,"soy",NA,NA
"5","01003",2005,"AL","BALDWIN",7.7872,"irrigated","corn",NA,NA,NA,NA
"6","01003",2006,"AL","BALDWIN",5.5892,"irrigated","corn",2.3864,"soy",NA,NA
"7","01003",2007,"AL","BALDWIN",6.594,"irrigated","corn",2.3864,"soy",NA,NA
"8","01003",2009,"AL","BALDWIN",7.7872,"irrigated","corn",2.5434,"soy",NA,NA
"9","01003",2010,"AL","BALDWIN",10.16732,"irrigated","corn",2.512,"soy",NA,NA
"10","01003",2011,"AL","BALDWIN",4.13852,"irrigated","corn",2.3236,"soy",NA,NA
"11","01003",2012,"AL","BALDWIN",7.74324,"irrigated","corn",2.5748,"soy",NA,NA
"12","01003",2013,"AL","BALDWIN",9.7968,"irrigated","corn",2.63132,"soy",NA,NA
"13","01003",2014,"AL","BALDWIN",8.72292,"irrigated","corn",2.75064,"soy",NA,NA
"14","01003",2015,"AL","BALDWIN",9.24416,"irrigated","corn",2.72552,"soy",NA,NA
"15","01003",2016,"AL","BALDWIN",9.60212,"irrigated","corn",2.62504,"soy",NA,NA
"16","01003",2017,"AL","BALDWIN",10.1736,"irrigated","corn",2.6376,"soy",NA,NA
"17","01003",2018,"AL","BALDWIN",9.5456,"irrigated","corn",2.85112,"soy",NA,NA
"18","01003",2019,"AL","BALDWIN",9.47652,"irrigated","corn",NA,NA,NA,NA
"19","01003",2020,"AL","BALDWIN",9.21904,"irrigated","corn",2.33616,"soy",NA,NA
"20","01003",2021,"AL","BALDWIN",9.69004,"irrigated","corn",2.78204,"soy",NA,NA
"21","01003",2022,"AL","BALDWIN",8.7292,"irrigated","corn",2.32988,"soy",NA,NA
"22","01005",2001,"AL","BARBOUR",6.2172,"irrigated","corn",NA,NA,NA,NA
"23","01005",2002,"AL","BARBOUR",5.5264,"irrigated","corn",NA,NA,NA,NA
"24","01005",2003,"AL","BARBOUR",7.222,"irrigated","corn",NA,NA,NA,NA
"25","01005",2004,"AL","BARBOUR",5.8404,"irrigated","corn",NA,NA,NA,NA
"26","01005",2005,"AL","BARBOUR",7.1592,"irrigated","corn",NA,NA,NA,NA
"27","01005",2006,"AL","BARBOUR",4.71,"irrigated","corn",NA,NA,NA,NA
"28","01005",2007,"AL","BARBOUR",6.4684,"irrigated","corn",NA,NA,NA,NA
"29","01005",2009,"AL","BARBOUR",6.8452,"irrigated","corn",NA,NA,NA,NA
"30","01005",2010,"AL","BARBOUR",4.98632,"irrigated","corn",NA,NA,NA,NA
"31","01005",2011,"AL","BARBOUR",7.51088,"irrigated","corn",NA,NA,NA,NA
"32","01005",2013,"AL","BARBOUR",9.65864,"irrigated","corn",NA,NA,NA,NA
"33","01005",2014,"AL","BARBOUR",10.44364,"irrigated","corn",NA,NA,NA,NA
"34","01005",2015,"AL","BARBOUR",11.40448,"irrigated","corn",NA,NA,NA,NA
"35","01005",2016,"AL","BARBOUR",11.86292,"irrigated","corn",NA,NA,NA,NA
"36","01005",2017,"AL","BARBOUR",12.07644,"irrigated","corn",NA,NA,NA,NA
"37","01005",2019,"AL","BARBOUR",11.56148,"irrigated","corn",NA,NA,NA,NA
"38","01005",2020,"AL","BARBOUR",9.52676,"irrigated","corn",NA,NA,NA,NA
"39","01005",2021,"AL","BARBOUR",11.88804,"irrigated","corn",NA,NA,NA,NA
"40","01005",2022,"AL","BARBOUR",10.03544,"irrigated","corn",NA,NA,NA,NA
"41","01015",2002,"AL","CALHOUN",6.0288,"irrigated","corn",NA,NA,NA,NA
"42","01015",2003,"AL","CALHOUN",7.3476,"irrigated","corn",NA,NA,NA,NA
"43","01015",2004,"AL","CALHOUN",9.0432,"irrigated","corn",NA,NA,NA,NA
"44","01015",2006,"AL","CALHOUN",3.8308,"irrigated","corn",NA,NA,NA,NA
"45","01015",2007,"AL","CALHOUN",5.652,"irrigated","corn",NA,NA,NA,NA
"46","01015",2009,"AL","CALHOUN",6.4684,"irrigated","corn",NA,NA,NA,NA
"47","01015",2010,"AL","CALHOUN",7.42924,"irrigated","corn",NA,NA,NA,NA
"48","01015",2011,"AL","CALHOUN",7.51088,"irrigated","corn",NA,NA,NA,NA
"49","01015",2012,"AL","CALHOUN",6.19836,"irrigated","corn",NA,NA,NA,NA
"50","01015",2013,"AL","CALHOUN",7.37272,"irrigated","corn",NA,NA,NA,NA
"51","01015",2014,"AL","CALHOUN",8.55336,"irrigated","corn",NA,NA,NA,NA
"52","01015",2018,"AL","CALHOUN",9.80936,"irrigated","corn",NA,NA,NA,NA
"53","01015",2019,"AL","CALHOUN",8.61616,"irrigated","corn",NA,NA,NA,NA
"54","01015",2020,"AL","CALHOUN",9.5142,"irrigated","corn",NA,NA,NA,NA
"55","01015",2021,"AL","CALHOUN",10.07312,"irrigated","corn",NA,NA,NA,NA
"56","01015",2022,"AL","CALHOUN",8.94272,"irrigated","corn",NA,NA,NA,NA
"57","01019",2000,"AL","CHEROKEE",2.9516,"rainfed","corn",1.0676,"soy",NA,NA
"58","01019",2001,"AL","CHEROKEE",7.4732,"rainfed","corn",2.198,"soy",NA,NA
"59","01019",2002,"AL","CHEROKEE",4.8984,"rainfed","corn",1.5072,"soy",NA,NA
"60","01019",2003,"AL","CHEROKEE",8.2896,"rainfed","corn",2.512,"soy",NA,NA
"61","01019",2004,"AL","CHEROKEE",8.9804,"rainfed","corn",2.512,"soy",NA,NA
"62","01019",2005,"AL","CHEROKEE",8.478,"rainfed","corn",2.5748,"soy",NA,NA
"63","01019",2006,"AL","CHEROKEE",4.2704,"rainfed","corn",0.942,"soy",NA,NA
"64","01019",2007,"AL","CHEROKEE",2.198,"rainfed","corn",0.942,"soy",NA,NA
"65","01019",2009,"AL","CHEROKEE",5.2124,"rainfed","corn",2.7004,"soy",NA,NA
"66","01019",2010,"AL","CHEROKEE",4.09456,"rainfed","corn",1.72072,"soy",NA,NA
"67","01019",2011,"AL","CHEROKEE",7.1906,"rainfed","corn",1.90912,"soy",NA,NA
"68","01019",2012,"AL","CHEROKEE",5.08052,"rainfed","corn",3.14628,"soy",NA,NA
"69","01019",2013,"AL","CHEROKEE",7.65532,"rainfed","corn",2.88252,"soy",NA,NA
"70","01019",2014,"AL","CHEROKEE",7.10896,"rainfed","corn",2.37384,"soy",NA,NA
"71","01019",2015,"AL","CHEROKEE",6.1544,"rainfed","corn",1.90284,"soy",NA,NA
"72","01019",2016,"AL","CHEROKEE",5.79644,"rainfed","corn",1.30624,"soy",NA,NA
"73","01019",2017,"AL","CHEROKEE",9.21904,"rainfed","corn",2.64388,"soy",NA,NA
"74","01019",2019,"AL","CHEROKEE",8.12632,"rainfed","corn",1.89028,"soy",NA,NA
"75","01019",2020,"AL","CHEROKEE",7.68672,"rainfed","corn",2.27964,"soy",NA,NA
"76","01019",2021,"AL","CHEROKEE",10.91464,"rainfed","corn",2.83228,"soy",NA,NA
"77","01019",2022,"AL","CHEROKEE",8.6978,"rainfed","corn",2.46176,"soy",NA,NA
"78","01031",2000,"AL","COFFEE",2.3864,"irrigated","corn",NA,NA,NA,NA
"79","01031",2002,"AL","COFFEE",5.5264,"irrigated","corn",NA,NA,NA,NA
"80","01031",2003,"AL","COFFEE",7.7244,"irrigated","corn",NA,NA,NA,NA
"81","01031",2004,"AL","COFFEE",6.9708,"irrigated","corn",NA,NA,NA,NA
"82","01031",2005,"AL","COFFEE",7.9756,"irrigated","corn",NA,NA,NA,NA
"83","01031",2006,"AL","COFFEE",5.338,"irrigated","corn",NA,NA,NA,NA
"84","01031",2007,"AL","COFFEE",4.5844,"irrigated","corn",NA,NA,NA,NA
"85","01031",2009,"AL","COFFEE",3.9564,"irrigated","corn",NA,NA,NA,NA
"86","01031",2010,"AL","COFFEE",5.16216,"irrigated","corn",NA,NA,NA,NA
"87","01031",2011,"AL","COFFEE",3.5796,"irrigated","corn",NA,NA,NA,NA
"88","01031",2012,"AL","COFFEE",4.867,"irrigated","corn",NA,NA,NA,NA
"89","01031",2013,"AL","COFFEE",6.69448,"irrigated","corn",NA,NA,NA,NA
"90","01031",2016,"AL","COFFEE",6.5626,"irrigated","corn",NA,NA,NA,NA
"91","01031",2017,"AL","COFFEE",7.54856,"irrigated","corn",NA,NA,NA,NA
"92","01031",2022,"AL","COFFEE",7.87512,"irrigated","corn",NA,NA,NA,NA
"93","01033",2000,"AL","COLBERT",6.2172,"irrigated","corn",NA,NA,NA,NA
"94","01033",2001,"AL","COLBERT",9.106,"irrigated","corn",NA,NA,NA,NA
"95","01033",2002,"AL","COLBERT",7.4104,"irrigated","corn",NA,NA,NA,NA
"96","01033",2003,"AL","COLBERT",10.1108,"irrigated","corn",NA,NA,NA,NA
"97","01033",2004,"AL","COLBERT",8.6664,"irrigated","corn",NA,NA,NA,NA
"98","01033",2005,"AL","COLBERT",9.2316,"irrigated","corn",NA,NA,NA,NA
"99","01033",2006,"AL","COLBERT",5.652,"irrigated","corn",NA,NA,NA,NA
"100","01033",2007,"AL","COLBERT",5.338,"irrigated","corn",NA,NA,NA,NA
"101","01033",2009,"AL","COLBERT",7.9128,"irrigated","corn",NA,NA,NA,NA
"102","01033",2010,"AL","COLBERT",8.96784,"irrigated","corn",NA,NA,NA,NA
"103","01033",2011,"AL","COLBERT",8.24564,"irrigated","corn",NA,NA,NA,NA
"104","01033",2012,"AL","COLBERT",6.43072,"irrigated","corn",NA,NA,NA,NA
"105","01033",2013,"AL","COLBERT",11.44216,"irrigated","corn",NA,NA,NA,NA
"106","01033",2014,"AL","COLBERT",12.0262,"irrigated","corn",NA,NA,NA,NA
"107","01033",2015,"AL","COLBERT",9.99148,"irrigated","corn",NA,NA,NA,NA
"108","01033",2016,"AL","COLBERT",7.92536,"irrigated","corn",NA,NA,NA,NA
"109","01033",2017,"AL","COLBERT",12.26484,"irrigated","corn",NA,NA,NA,NA
