"GEOID","total_SOM10"
"01001",1.04859236
"01003",1.04859236
"01005",1.04859236
"01007",1.04859236
"01009",1.47970727
"01011",1.04859236
"01013",1.04859236
"01015",1.4828917
"01017",1.27102984
"01019",1.4828917
"01021",1.04859236
"01023",1.04859236
"01025",1.04859236
"01027",1.27102984
"01029",1.27102984
"01031",1.04859236
"01033",1.4828917
"01035",1.04859236
"01037",1.27102984
"01039",1.04859236
"01041",1.04859236
"01043",1.47970727
"01045",1.04859236
"01047",1.04859236
"01049",1.47970727
"01051",1.04859236
"01053",1.04859236
"01055",1.4828917
"01057",1.04859236
"01059",1.04859236
"01061",1.04859236
"01063",1.04859236
"01065",1.04859236
"01067",1.04859236
"01069",1.04859236
"01071",1.47970727
"01073",1.47970727
"01075",1.04859236
"01077",1.51604374
"01079",1.4828917
"01081",1.27102984
"01083",1.51604374
"01085",1.79747842
"01087",1.04859236
"01089",1.4828917
"01091",1.04859236
"01093",1.04859236
"01095",1.47970727
"01097",1.04859236
"01099",1.04859236
"01101",1.79747842
"01103",1.4828917
"01105",1.04859236
"01107",1.04859236
"01109",1.04859236
"01111",1.27102984
"01113",1.04859236
"01115",1.4828917
"01117",1.4828917
"01119",1.79747842
"01121",1.4828917
"01123",1.27102984
"01125",1.04859236
"01127",1.47970727
"01129",1.04859236
"01131",1.04859236
"01133",1.47970727
"04001",0.53653683
"04003",0.9254029
"04005",0.53653683
"04007",0.53653683
"04009",0.9254029
"04011",0.53653683
"04012",0.65724031
"04013",0.65724031
"04015",0.53653683
"04017",0.53653683
"04019",0.65724031
"04021",0.65724031
"04023",0.9254029
"04025",0.53653683
"04027",0.65724031
"05001",1.47515377
"05003",1.47515377
"05005",1.47970727
"05007",1.47970727
"05009",1.47970727
"05011",1.27102984
"05013",1.27102984
"05015",1.47970727
"05017",1.56662177
"05019",1.27102984
"05021",1.56662177
"05023",1.47970727
"05025",1.27102984
"05027",1.27102984
"05029",1.47970727
"05031",1.56662177
"05033",1.47970727
"05035",1.56662177
"05037",1.59500653
"05039",1.27102984
"05041",1.56662177
"05043",1.27102984
"05045",1.47970727
"05047",1.47970727
"05049",1.47970727
"05051",1.47970727
"05053",1.27102984
"05055",1.56662177
"05057",1.27102984
"05059",1.47970727
"05061",1.27102984
"05063",1.47970727
"05065",1.47970727
"05067",1.56662177
"05069",1.62672712
"05071",1.47970727
"05073",1.27102984
"05075",1.56662177
"05077",1.59500653
"05079",1.62672712
"05081",1.27102984
"05083",1.47970727
"05085",1.47515377
"05087",1.47970727
"05089",1.47970727
"05091",1.27102984
"05093",1.56662177
"05095",1.56662177
"05097",1.47970727
"05099",1.27102984
"05101",1.47970727
"05103",1.27102984
"05105",1.47970727
"05107",1.56662177
"05109",1.47970727
"05111",1.56662177
"05113",1.47970727
"05115",1.47970727
"05117",1.47515377
"05119",1.27102984
"05121",1.47970727
"05123",1.59500653
"05125",1.47970727
"05127",1.47970727
"05129",1.47970727
"05131",1.47970727
"05133",1.27102984
"05135",1.47970727
"05137",1.47970727
"05139",1.27102984
"05141",1.47970727
"05143",1.47970727
"05145",1.47970727
"05147",1.56662177
"05149",1.47970727
"06001",0.91041491
"06003",0.51042776
"06005",0.51042776
"06007",0.88853752
"06009",0.88853752
"06011",0.91464659
"06013",0.91041491
"06015",0.54198017
"06017",0.51042776
"06019",0.91464659
"06021",0.91464659
"06023",0.54198017
"06025",0.74496061
"06027",0.53653683
"06029",0.91464659
"06031",0.91464659
"06033",0.88430584
"06035",0.53653683
"06037",0.91417482
"06039",0.91464659
"06041",0.88430584
"06043",0.51042776
"06045",0.54198017
"06047",0.91464659
"06049",0.53653683
"06051",0.53653683
"06053",0.91041491
"06055",0.88430584
"06057",0.51042776
"06059",0.91417482
"06061",0.88853752
"06063",0.51042776
"06065",0.74496061
"06067",0.91464659
"06069",0.91041491
"06071",0.53653683
"06073",0.91417482
"06075",0.88430584
"06077",0.91464659
"06079",0.91041491
"06081",0.88430584
"06083",0.91041491
"06085",0.91041491
"06087",0.88430584
"06089",0.51042776
"06091",0.51042776
"06093",0.54198017
"06095",0.91464659
"06097",0.88430584
"06099",0.91464659
"06101",0.91464659
"06103",0.88853752
"06105",0.54198017
"06107",0.91464659
"06109",0.51042776
"06111",0.91041491
"06113",0.91464659
"06115",0.88853752
"08001",0.51308535
"08003",0.33846668
"08005",0.51308535
"08007",0.38105922
"08009",0.51308535
"08011",0.61283626
"08013",0.32824512
